#sl_no Z X M L T_eff
473 0.013 0.71847 2.91688 277.19127 7523.0896
474 0.013 0.71847 2.1663 67.22722 7383.63647
475 0.013 0.71847 2.66657 126.17772 7941.44897
476 0.013 0.71847 2.22856 144.40307 5168.79272
477 0.013 0.71847 2.69188 247.71449 4053.16772
478 0.013 0.71847 2.14088 83.23742 6222.89429
479 0.013 0.71847 2.78892 204.61789 7207.26929
480 0.013 0.71847 2.56166 104.22571 4795.55054
481 0.013 0.71847 2.4667 178.79273 5779.92554
482 0.013 0.71847 2.74969 152.75326 6887.34741
483 0.013 0.71847 2.0518 49.626 7067.81616
484 0.013 0.71847 2.29802 121.99281 4114.69116
485 0.013 0.71847 2.13017 119.44802 5565.1062
486 0.013 0.71847 2.77496 293.63239 4449.4812
487 0.013 0.71847 2.54884 149.5668 7550.26245
488 0.013 0.71847 2.23317 55.60934 8042.44995
489 0.013 0.71847 2.80129 336.04521 7648.69995
490 0.013 0.71847 2.58521 209.5654 6557.68433
491 0.013 0.71847 2.0609 71.21469 4588.93433
492 0.013 0.71847 2.30822 85.25004 7673.30933
493 0.013 0.71847 2.49525 242.54713 5495.37964
494 0.013 0.71847 2.40275 141.3908 4511.00464
495 0.013 0.71847 2.08538 78.79795 5741.47339
496 0.013 0.71847 2.33563 65.82485 6988.34839
497 0.013 0.71847 2.92982 193.70458 4757.09839
498 0.013 0.71847 2.15546 46.97919 4896.55151
499 0.013 0.71847 2.21741 100.9106 6619.20776
500 0.013 0.71847 2.67841 173.10586 7603.58276
501 0.013 0.71847 2.26236 129.95711 7146.25854
502 0.013 0.71847 2.7327 222.93335 6030.63354
503 0.013 0.71847 2.19916 72.42588 5423.60229
504 0.013 0.71847 2.60666 113.55501 5981.41479
505 0.013 0.71847 2.12765 127.06748 4168.52417
506 0.013 0.71847 2.98921 312.36288 5284.14917
507 0.013 0.71847 2.54584 159.10751 3922.43042
508 0.013 0.71847 2.96112 326.73125 6284.93042
509 0.013 0.71847 2.02952 54.06805 6153.68042
510 0.013 0.71847 2.45146 92.75037 5038.05542
511 0.013 0.71847 2.63761 269.88756 7076.53198
512 0.013 0.71847 2.10268 44.66145 5107.78198
513 0.013 0.71847 2.35501 109.78876 6092.15698
514 0.013 0.71847 2.04394 104.96067 7322.62573
515 0.013 0.71847 2.71341 137.47196 4927.31323
